TRADING_CODE,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
SONARBAINS,2026-08-11,43.9,44,41.5,41.9,604428
SONARGAON,2026-08-11,112.1,121.1,112.1,118.5,396275
SOUTHEASTB,2026-08-11,10.9,11.8,10.8,11.6,8699469
SPCERAMICS,2026-08-11,23.6,23.8,23,23.1,1328630
SPCL,2026-08-11,57.3,58.4,57.2,57.7,509870
SQUARETEXT,2026-08-11,52,52.3,51.5,52.1,305612
SQURPHARMA,2026-08-11,220,220.9,219.5,219.7,305941
SSSTEEL,2026-08-11,7.3,7.4,7.1,7.2,408322
STANCERAM,2026-08-11,71.2,73.8,71.2,73.8,4350
STANDARINS,2026-08-11,53.3,53.6,52.3,52.5,644688
STANDBANKL,2026-08-11,4.9,5.1,4.9,5.1,747482
STYLECRAFT,2026-08-11,59.7,62,59.7,60.2,39661
SUMITPOWER,2026-08-11,16.7,17.2,16.7,17.1,2404393
SUNLIFEINS,2026-08-11,66.2,67.7,63.7,64.6,1001151
TAKAFULINS,2026-08-11,54.8,56,54.7,55.1,366849
TALLUSPIN,2026-08-11,8.2,8.2,8.1,8.2,107578
TAMIJTEX,2026-08-11,131.7,135.1,130.9,133.9,193099
TB10Y0127,2026-08-11,0,0,0,0,0
TB10Y0130,2026-08-11,0,0,0,0,0
TB10Y0132,2026-08-11,0,0,0,0,0
TB10Y0135,2026-08-11,112.94,112.94,112.94,112.94,2000
TB10Y0231,2026-08-11,0,0,0,0,0
TB10Y0234,2026-08-11,0,0,0,0,0
TB10Y0333,2026-08-11,0,0,0,0,0
TB10Y0335,2026-08-11,0,0,0,0,0
TB10Y0429,2026-08-11,0,0,0,0,0
TB10Y0434,2026-08-11,0,0,0,0,0
TB10Y0530,2026-08-11,0,0,0,0,0
TB10Y0531,2026-08-11,0,0,0,0,0
TB10Y0532,2026-08-11,0,0,0,0,0
TB10Y0535,2026-08-11,0,0,0,0,0
TB10Y0628,2026-08-11,0,0,0,0,0
TB10Y0629,2026-08-11,0,0,0,0,0
TB10Y0630,2026-08-11,0,0,0,0,0
TB10Y0632,2026-08-11,0,0,0,0,0
TB10Y0634,2026-08-11,114.94,116.25,114.94,116.25,20000
TB10Y0730,2026-08-11,0,0,0,0,0
TB10Y0731,2026-08-11,0,0,0,0,0
TB10Y0735,2026-08-11,0,0,0,0,0
TB10Y0829,2026-08-11,0,0,0,0,0
TB10Y0833,2026-08-11,0,0,0,0,0
TB10Y0932,2026-08-11,0,0,0,0,0
TB10Y1027,2026-08-11,0,0,0,0,0
TB10Y1030,2026-08-11,0,0,0,0,0
TB10Y1031,2026-08-11,0,0,0,0,0
TB10Y1128,2026-08-11,0,0,0,0,0
TB10Y1135,2026-08-11,0,0,0,0,0
TB10Y1229,2026-08-11,0,0,0,0,0
TB10Y1232,2026-08-11,0,0,0,0,0
TB15Y0127,2026-08-11,0,0,0,0,0
TB15Y0128,2026-08-11,0,0,0,0,0
TB15Y0129,2026-08-11,0,0,0,0,0
TB15Y0227,2026-08-11,0,0,0,0,0
TB15Y0228,2026-08-11,0,0,0,0,0
TB15Y0229,2026-08-11,0,0,0,0,0
TB15Y0327,2026-08-11,0,0,0,0,0
TB15Y0328,2026-08-11,0,0,0,0,0
TB15Y0329,2026-08-11,0,0,0,0,0
TB15Y0339,2026-08-11,0,0,0,0,0
TB15Y0340,2026-08-11,0,0,0,0,0
TB15Y0427,2026-08-11,0,0,0,0,0
